index,binder_name,page_number,slot_number,card_id,card_name,card_number,set_id,set_name,card_market_value
1-1-1,1,1,1,base1-1,Alakazam,1,base1,Base,54.13
1-1-2,1,1,2,base1-2,Blastoise,2,base1,Base,159.26
1-1-3,1,1,3,base1-3,Chansey,3,base1,Base,28.48
1-1-4,1,1,4,base1-4,Charizard,4,base1,Base,458.29
1-1-5,1,1,5,base1-5,Clefairy,5,base1,Base,26.05
1-1-6,1,1,6,base1-6,Gyarados,6,base1,Base,34.98
1-1-7,1,1,7,base1-7,Hitmonchan,7,base1,Base,18.55
1-1-8,1,1,8,base1-8,Machamp,8,base1,Base,0.0
1-1-9,1,1,9,base1-9,Magneton,9,base1,Base,20.24
1-2-1,1,2,1,base1-10,Mewtwo,10,base1,Base,38.91
1-2-2,1,2,2,base1-11,Nidoking,11,base1,Base,28.8
1-2-3,1,2,3,base1-12,Ninetales,12,base1,Base,22.93
1-2-4,1,2,4,base1-13,Poliwrath,13,base1,Base,20.44
1-2-5,1,2,5,base1-14,Raichu,14,base1,Base,43.69
1-2-6,1,2,6,base1-15,Venusaur,15,base1,Base,119.17
1-2-7,1,2,7,base1-16,Zapdos,16,base1,Base,36.66
1-2-8,1,2,8,base1-17,Beedrill,17,base1,Base,3.97
1-2-9,1,2,9,base1-18,Dragonair,18,base1,Base,13.13
1-3-1,1,3,1,base1-19,Dugtrio,19,base1,Base,6.74
1-3-2,1,3,2,base1-20,Electabuzz,20,base1,Base,7.43
1-3-3,1,3,3,base1-21,Electrode,21,base1,Base,6.86
1-3-4,1,3,4,base1-22,Pidgeotto,22,base1,Base,9.42
1-3-5,1,3,5,base1-23,Arcanine,23,base1,Base,3.0
1-3-6,1,3,6,base1-24,Charmeleon,24,base1,Base,1.81
1-3-7,1,3,7,base1-25,Dewgong,25,base1,Base,2.22
1-3-8,1,3,8,base1-26,Dratini,26,base1,Base,1.66
1-3-9,1,3,9,base1-27,Farfetch'd,27,base1,Base,0.93
1-4-1,1,4,1,base1-28,Growlithe,28,base1,Base,0.81
1-4-2,1,4,2,base1-29,Haunter,29,base1,Base,1.36
1-4-3,1,4,3,base1-30,Ivysaur,30,base1,Base,2.19
1-4-4,1,4,4,base1-31,Jynx,31,base1,Base,0.65
1-4-5,1,4,5,base1-32,Kadabra,32,base1,Base,1.29
1-4-6,1,4,6,base1-33,Kakuna,33,base1,Base,1.0
1-4-7,1,4,7,base1-34,Machoke,34,base1,Base,0.65
1-4-8,1,4,8,base1-35,Magikarp,35,base1,Base,1.95
1-4-9,1,4,9,base1-36,Magmar,36,base1,Base,2.65
1-5-1,1,5,1,base1-37,Nidorino,37,base1,Base,1.78
1-5-2,1,5,2,base1-38,Poliwhirl,38,base1,Base,1.29
1-5-3,1,5,3,base1-39,Porygon,39,base1,Base,2.15
1-5-4,1,5,4,base1-40,Raticate,40,base1,Base,2.06
1-5-5,1,5,5,base1-41,Seel,41,base1,Base,1.07
1-5-6,1,5,6,base1-42,Wartortle,42,base1,Base,2.47
1-5-7,1,5,7,base1-43,Abra,43,base1,Base,0.58
1-5-8,1,5,8,base1-44,Bulbasaur,44,base1,Base,1.68
1-5-9,1,5,9,base1-45,Caterpie,45,base1,Base,0.82
1-6-1,1,6,1,base1-46,Charmander,46,base1,Base,1.67
1-6-2,1,6,2,base1-47,Diglett,47,base1,Base,0.42
1-6-3,1,6,3,base1-48,Doduo,48,base1,Base,0.92
1-6-4,1,6,4,base1-49,Drowzee,49,base1,Base,0.42
1-6-5,1,6,5,base1-50,Gastly,50,base1,Base,0.56
1-6-6,1,6,6,base1-51,Koffing,51,base1,Base,0.42
1-6-7,1,6,7,base1-52,Machop,52,base1,Base,0.33
1-6-8,1,6,8,base1-53,Magnemite,53,base1,Base,0.5
1-6-9,1,6,9,base1-54,Metapod,54,base1,Base,0.71
1-7-1,1,7,1,base1-55,Nidoran ♂,55,base1,Base,0.68
1-7-2,1,7,2,base1-56,Onix,56,base1,Base,0.47
1-7-3,1,7,3,base1-57,Pidgey,57,base1,Base,0.67
1-7-4,1,7,4,base1-58,Pikachu,58,base1,Base,3.19
1-7-5,1,7,5,base1-59,Poliwag,59,base1,Base,0.41
1-7-6,1,7,6,base1-60,Ponyta,60,base1,Base,0.43
1-7-7,1,7,7,base1-61,Rattata,61,base1,Base,0.44
1-7-8,1,7,8,base1-62,Sandshrew,62,base1,Base,0.54
1-7-9,1,7,9,base1-63,Squirtle,63,base1,Base,2.8
1-8-1,1,8,1,base1-64,Starmie,64,base1,Base,0.45
1-8-2,1,8,2,base1-65,Staryu,65,base1,Base,0.36
1-8-3,1,8,3,base1-66,Tangela,66,base1,Base,0.48
1-8-4,1,8,4,base1-67,Voltorb,67,base1,Base,1.31
1-8-5,1,8,5,base1-68,Vulpix,68,base1,Base,0.53
1-8-6,1,8,6,base1-69,Weedle,69,base1,Base,0.39
1-8-7,1,8,7,base1-70,Clefairy Doll,70,base1,Base,5.34
1-8-8,1,8,8,base1-71,Computer Search,71,base1,Base,3.07
1-8-9,1,8,9,base1-72,Devolution Spray,72,base1,Base,4.6
1-9-1,1,9,1,base1-73,Impostor Professor Oak,73,base1,Base,5.49
1-9-2,1,9,2,base1-74,Item Finder,74,base1,Base,8.57
1-9-3,1,9,3,base1-75,Lass,75,base1,Base,2.37
1-9-4,1,9,4,base1-76,Pokémon Breeder,76,base1,Base,6.85
1-9-5,1,9,5,base1-77,Pokémon Trader,77,base1,Base,4.48
1-9-6,1,9,6,base1-78,Scoop Up,78,base1,Base,7.11
1-9-7,1,9,7,base1-79,Super Energy Removal,79,base1,Base,3.34
1-9-8,1,9,8,base1-80,Defender,80,base1,Base,1.28
1-9-9,1,9,9,base1-81,Energy Retrieval,81,base1,Base,0.61
1-10-1,1,10,1,base1-82,Full Heal,82,base1,Base,1.37
1-10-2,1,10,2,base1-83,Maintenance,83,base1,Base,2.11
1-10-3,1,10,3,base1-84,PlusPower,84,base1,Base,0.57
1-10-4,1,10,4,base1-85,Pokémon Center,85,base1,Base,1.6
1-10-5,1,10,5,base1-86,Pokémon Flute,86,base1,Base,2.41
1-10-6,1,10,6,base1-87,Pokédex,87,base1,Base,0.44
1-10-7,1,10,7,base1-88,Professor Oak,88,base1,Base,1.08
1-10-8,1,10,8,base1-89,Revive,89,base1,Base,2.17
1-10-9,1,10,9,base1-90,Super Potion,90,base1,Base,0.29
1-11-1,1,11,1,base1-91,Bill,91,base1,Base,0.33
1-11-2,1,11,2,base1-92,Energy Removal,92,base1,Base,0.37
1-11-3,1,11,3,base1-93,Gust of Wind,93,base1,Base,0.23
1-11-4,1,11,4,base1-94,Potion,94,base1,Base,0.2
1-11-5,1,11,5,base1-95,Switch,95,base1,Base,0.3
1-11-6,1,11,6,base1-96,Double Colorless Energy,96,base1,Base,5.78
1-11-7,1,11,7,base1-97,Fighting Energy,97,base1,Base,0.31
1-11-8,1,11,8,base1-98,Fire Energy,98,base1,Base,0.32
1-11-9,1,11,9,base1-99,Grass Energy,99,base1,Base,0.28
1-12-1,1,12,1,base1-100,Lightning Energy,100,base1,Base,0.3
1-12-2,1,12,2,base1-101,Psychic Energy,101,base1,Base,0.35
1-12-3,1,12,3,base1-102,Water Energy,102,base1,Base,0.32
1-12-4,1,12,4,base1-4,Charizard,4,base1,Base,458.29
1-12-5,1,12,5,base1-2,Blastoise,2,base1,Base,159.26
1-12-6,1,12,6,base1-15,Venusaur,15,base1,Base,119.17
1-12-7,1,12,7,base1-10,Mewtwo,10,base1,Base,38.91
1-12-8,1,12,8,base1-16,Zapdos,16,base1,Base,36.66
1-12-9,1,12,9,base1-14,Raichu,14,base1,Base,43.69
1-13-1,1,13,1,base1-1,Alakazam,1,base1,Base,54.13
1-13-2,1,13,2,base1-3,Chansey,3,base1,Base,28.48
1-13-3,1,13,3,base1-12,Ninetales,12,base1,Base,22.93
1-13-4,1,13,4,base1-8,Machamp,8,base1,Base,0.0
1-13-5,1,13,5,base1-4,Charizard,4,base1,Base,458.29
